id	scale
20110224	1.0
20110303	1.0
20110310	1.0
20110317	1.0
20110324	1.0
20110331	1.0
20110407	1.0
20110414	1.0
20110421	1.0
20110428	1.0
20110505	1.0
20110512	1.0
20110519	1.0
20110526	1.0
20110602	1.0
20110609	1.0
20110616	1.0
20110623	1.0
20110630	1.0
20110707	1.0
20110714	1.0
20110721	1.0
20110728	1.0
20110804	1.0
20110811	1.0
20110818	1.0
20110825	1.0
20110901	1.0
20110908	1.0
20110915	1.0
20110922	1.0
20110929	1.0
20111006	1.0
20111013	1.0
20111020	1.0
20111027	1.0
20111103	1.0
20111110	1.0
20111117	1.0
20111124	1.0
20111201	1.0
20111208	1.0
20111215	1.0
20111222	1.0
20111229	1.0
20120105	1.0
20120112	1.0
20120119	1.0
20120126	1.0
20120202	1.0
20120209	1.0
20120216	1.0
20120223	1.0
20120301	1.0
20120308	1.0
20120315	1.0
20120322	1.0
20120329	1.0
20120405	1.0
20120412	1.0
20120419	1.0
20120426	1.0
20120503	1.0
20120510	1.0
20120517	1.0
20120524	1.0
20120531	1.0
20120607	1.0
20120614	1.0
20120621	1.0
20120628	1.0
20120705	1.0
20120712	1.0
20120719	1.0
20120726	1.0
20120802	1.0
20120809	1.0
20120816	1.0
20120823	1.0
20120830	1.0
20120906	1.0
20120913	1.0
20120920	1.0
20120927	1.0
20121004	1.0
20121011	1.0
20121018	1.0
20121025	1.0
20121101	1.0
20121108	1.0
20121115	1.0
20121122	1.0
20121129	1.0
20121206	1.0
20121213	1.0
20121220	1.0
20121227	1.0
20130103	1.0
20130110	1.0
20130117	1.0
20130124	1.0
20130131	1.0
20130207	1.0
20130214	1.0
20130221	1.0
20130228	1.0
20130307	1.0
20130314	1.0
20130321	1.0
20130328	1.0
20130404	1.0
20130411	1.0
20130418	1.0
20130425	1.0
20130502	1.0
20130509	1.0
20130516	1.0
20130523	1.0
20130530	1.0
20130606	1.0
20130613	1.0
20130620	1.0
20130627	1.0
20130704	1.0
20130711	1.0
20130718	1.0
20130725	1.0
20130801	1.0
20130808	1.0
20130815	1.0
20130822	1.0
20130829	1.0
20130905	1.0
20130912	1.0
20130919	1.0
20130926	1.0
20131003	1.0
20131010	1.0
20131017	1.0
20131024	1.0
20131031	1.0
20131107	1.0
20131114	1.0
20131121	1.0
20131128	1.0
20131205	1.0
20131212	1.0
20131219	1.0
20131226	1.0
20140102	1.0
20140109	1.0
20140116	1.0
20140123	1.0
20140130	1.0
20140206	1.0
20140213	1.0
20140220	1.0
20140227	1.0
20140306	1.0
20140313	1.0
20140320	1.0
20140327	1.0
20140403	1.0
20140410	1.0
20140417	1.0
20140424	1.0
20140501	1.0
20140508	1.0
20140515	1.0
20140522	1.0
20140529	1.0
20140605	1.0
20140612	1.0
20140619	1.0
20140626	1.0
20140703	1.0
20140710	1.0
20140717	1.0
20140724	1.0
20140731	1.0
20140807	1.0
20140814	1.0
20140821	1.0
20140828	1.0
20140904	1.0
20140911	1.0
20140918	1.0
20140925	1.0
20141002	1.0
20141009	1.0
20141016	1.0
20141023	1.0
20141030	1.0
20141113	1.0
20141120	1.0
20141127	1.0
20141204	1.0
20141211	1.0
20141218	1.0
20141225	1.0
20150101	1.0
20150108	1.0
20150115	1.0
20150122	1.0
20150129	1.0
20150205	1.0
20150212	1.0
20141106	1.0
20150219	1.0
20150226	1.0
20150305	1.0
20150312	1.0
20150319	1.0
20150326	1.0
20150402	1.0
20150409	1.0
20150416	1.0
20150423	1.0
20150430	1.0
20150507	1.0
20150514	1.0
20150521	1.0
20150528	1.0
20150604	1.0
20150611	1.0
20150618	1.0
20150625	1.0
20150702	1.0
20150709	1.0
20150716	1.0
20150723	1.0
20150730	1.0
20150806	1.0
20150813	1.0
20150820	1.0
20150827	1.0
20150903	1.0
20150910	1.0
20150917	1.0
20150924	1.0
20151001	1.0
20151008	1.0
20151015	1.0
20151022	1.0
20151029	1.0
20151105	1.0
20151112	1.0
20151119	1.0
20151126	1.0
20151203	1.0
20151210	1.0
20151217	1.0
20151224	1.0
20151231	1.0
20160107	1.0
20160114	1.0
20160121	1.0
20160128	1.0
20160204	1.0
20160211	1.0
20160218	1.0
20160225	1.0
20160303	1.0
20160310	1.0
20160317	1.0
20160324	1.0
20160331	1.0
20160407	1.0
20160414	1.0
20160421	1.0
20160428	1.0
20160505	1.0
20160512	1.0
20160519	1.0
20160526	1.0
20160602	1.0
20160609	1.0
20160616	1.0
20160623	1.0
20160630	1.0
20160707	1.0
20160714	1.0
20160721	1.0
20160728	1.0
20160804	1.0
20160811	1.0
20160818	1.0
20160825	1.0
20160901	1.0
20160908	1.0
20160915	1.0
20160922	1.0
20160929	1.0
20161006	1.0
20161013	1.0
20161020	1.0
20161027	1.0
20161103	1.0
20161110	1.0
20161117	1.0
20161124	1.0
20161201	1.0
20161208	1.0
20161215	1.0
20161222	1.0
20161229	1.0
20170105	1.0
20170112	1.0
20170119	1.0
20170126	1.0
20170202	1.0
20170209	1.0
20170216	1.0
20170223	1.0
20170302	1.0
20170309	1.0
20170316	1.0
20170323	1.0
20170330	1.0
20170406	1.0
20170413	1.0
20170420	1.0
20170427	1.0
20170504	1.0
20170511	1.0
20170518	1.0
20170525	1.0
20170601	1.0
20170608	1.0
20170615	1.0
20170622	1.0
20170629	1.0
20170706	1.0
20170713	1.0
20170720	1.0
20170727	1.0
20170803	1.0
20170810	1.0
20170817	1.0
20170824	1.0
20170831	1.0
20170907	1.0
20170914	1.0
20170921	1.0
20170928	1.0
20171005	1.0
20171012	1.0
20171019	1.0
20171026	1.0
20171102	1.0
20171109	1.0
20171116	1.0
20171123	1.0
20171130	1.0
20171207	1.0
20171214	1.0
20171221	1.0
20171228	1.0
20180104	1.0
20180111	1.0
20180118	1.0
20180125	1.0
20180201	1.0
20180208	1.0
20180215	1.0
20180222	1.0
20180301	1.0
20180308	1.0
20180315	1.0
20180322	1.0
20180329	1.0
20180405	1.0
20180412	1.0
20180419	1.0
20180426	1.0
20180503	1.0
20180510	1.0
20180517	1.0
20180524	1.0
20180531	1.0
20180607	1.0
20180614	1.0
20180621	1.0
20180628	1.0
20180705	1.0
20180712	1.0
20180719	1.0
20180726	1.0
20180802	1.0
20180809	1.0
20180816	1.0
20180823	1.0
20180830	1.0
20180906	1.0
20180913	1.0
20180920	1.0
20180927	1.0
20181004	1.0
20181011	1.0
20181018	1.0
20181025	1.0
20181101	1.0
20181108	1.0
20181115	1.0
20181122	1.0
20181129	1.0
20181206	1.0
20181213	1.0
20181220	1.0
20181227	1.0
20190103	1.0
20190110	1.0
20190117	1.0
20190124	1.0
20190131	1.0
20190207	1.0
20190214	1.0
20190221	1.0
20190228	1.0
20190307	1.0
20190314	1.0
20190321	1.0
20190328	1.0
20190404	1.0
20190411	1.0
20190418	1.0
20190425	1.0
20190502	1.0
20190509	1.0
20190516	1.0
20190523	1.0
20190530	1.0
20190606	1.0
20190613	1.0
20190620	1.0
20190627	1.0
20190704	1.0
20190711	1.0
20190718	1.0
20190725	1.0
20190801	1.0
20190808	1.0
20190815	1.0
20190822	1.0
20190829	1.0
20190905	1.0
20190912	1.0
20190919	1.0
20190926	1.0
20191003	1.0
20191010	1.0
20191017	1.0
20191024	1.0
20191031	1.0
20191107	1.0
20191114	1.0
20191121	1.0
20191128	1.0
20191205	1.0
20191212	1.0
20191219	1.0
20200102	1.0
20200109	1.0
20200116	1.0
20200123	1.0
20200130	1.0
20200206	1.0
20200213	1.0
20200220	1.0
20200227	1.0
20200305	1.0
20200312	1.0
20200319	1.0
20200326	1.0
20200402	1.0
20200409	1.0
20200416	1.0
20200423	1.0
20200430	1.0
20200507	1.0
20200514	1.0
20200521	1.0
20200528	1.0
20200604	1.0
20200611	1.0
20200618	1.0
20200625	1.0
20200702	1.0
20200709	1.0
20200716	1.0
20200723	1.0
20200730	1.0
20200806	1.0
20200813	1.0
20200820	1.0
20200827	1.0
20200903	1.0
20200910	1.0
20200917	1.0
20200924	1.0
20201001	1.0
20201008	1.0
20201015	1.0
20201022	1.0
20201029	1.0
20201105	1.0
20201112	1.0
20201119	1.0
20201126	1.0
20201203	1.0
20201210	1.0
20201217	1.0
20201224	1.0
20201231	1.0
20210107	1.0
20210114	1.0
20210121	1.0
20210128	1.0
20210204	1.0
20210211	1.0
20210218	1.0
20210225	1.0
20210304	1.0
20210311	1.0
20210318	1.0
20210325	1.0
20210401	1.0
20210408	1.0
20210415	1.0
20210422	1.0
20210429	1.0
20210506	1.0
20210513	1.0
20210520	1.0
20210527	1.0
20210603	1.0
20210610	1.0
20210617	1.0
20210624	1.0
20210701	1.0
20210708	1.0
20210715	1.0
20210722	1.0
20210729	1.0
20210805	1.0
20210812	1.0
20210819	1.0
20210826	1.0
20210902	1.0
20210909	1.0
20210916	1.0
20210923	1.0
20210930	1.0
20211007	1.0
20211014	1.0
20211021	1.0
20211028	1.0
20211104	1.0
20211111	1.0
20211118	1.0
20211125	1.0
20211202	1.0
20211209	1.0
20211216	1.0
20211223	1.0
20211230	1.0
